skip (GET)|LPI filename|ALSJ filename|media.apolloinrealtime.org filename|Description|Source
001:28:00|AS16-118-18857|||Earth|NASA
001:29:00|AS16-118-18858|||Earth|NASA
001:29:35|AS16-118-18859|||Baja California|NASA
001:34:15|AS16-118-18860|||Texas, Houston, Gulf Of Mexico|NASA
001:34:25|AS16-118-18861|||Texas, Houston, Gulf Of Mexico|NASA
002:44:00|AS16-118-18862|||North Eastern Pacific Ocean|NASA
002:44:06|AS16-118-18863|||North Eastern Pacific Ocean|NASA
002:44:13|AS16-118-18864|||North Eastern Pacific Ocean|NASA
002:44:23|AS16-118-18865|||North Eastern Pacific Ocean|NASA
002:44:29|AS16-118-18866|||North Eastern Pacific Ocean|NASA
002:44:42|AS16-118-18867|||North Eastern Pacific Ocean|NASA
003:01:10|AS16-118-18868|||Eastern Pacific Ocean off Mexico|NASA
003:01:13|AS16-118-18869|||Eastern Pacific Ocean off Mexico|NASA
003:01:28|AS16-118-18870|||Eastern Pacific Ocean,Baja California, Mexico, California, USA|NASA
003:05:47|AS16-118-18871|||Northern Pacific Ocean|NASA
003:05:50|AS16-118-18872|||Northern Pacific Ocean|NASA
003:05:55|AS16-118-18873|||North and Central America following CSM SEP from S-IVB|NASA
003:06:10|AS16-118-18874|||Central America, Eastern Pacific Ocean, debris following CSM SEP from S-IVB|NASA
003:08:00|AS16-118-18875|||Lunar Module, S-IVB stage surrounded by debris|NASA
003:12:10|AS16-118-18876|||Northern Pacific Ocean through window 5|NASA
003:12:54|AS16-118-18877|||Lunar Module and debris|NASA
003:27:10|AS16-118-18878|||Eastern Pacific Ocean, United States, Central America, Caribbean Sea|NASA
003:27:20|AS16-118-18879|||Eastern Pacific Ocean, United States, Central America, Caribbean Sea|NASA
003:27:30|AS16-118-18880|||Eastern Pacific Ocean, United States, Central America, Caribbean Sea|NASA
004:07:50|AS16-118-18881|||Lunar Module thrusters, S-IVB stage|NASA
004:07:55|AS16-118-18882|||Lunar Module thrusters, S-IVB stage|NASA
004:14:20|AS16-118-18883|||Lunar Module thrusters, S-IVB stage|NASA
004:14:25|AS16-118-18884|||Lunar Module thrusters, S-IVB stage|NASA
004:14:55|AS16-118-18885|||Earth, U.S., Mexico|NASA
004:15:35|AS16-118-18886|||S-IVB stage|NASA
007:20:00|AS16-118-18887|||Earth|NASA
012:35:00|AS16-118-18888|||Earth|NASA
029:35:00|AS16-118-18889|||Earth|NASA
052:35:00|AS16-118-18890|||Earth|NASA
068:21:00|AS16-118-18891|||Earth|NASA
068:23:30|AS16-118-18892|||Attempted photograph of the Moon|NASA
096:16:40|AS16-118-18893|||Lunar Module In lunar orbit following undocking|NASA
096:16:50|AS16-118-18894|||Lunar Module In lunar orbit following undocking|NASA
100:08:00|AS16-118-18895|||Lunar Module In lunar orbit during re-rendezvous|NASA
NA|AS16-118-18896|||Dark|NASA
101:50:00|AS16-118-18897|||Lunar Module In lunar orbit following re-rendezvous|NASA
105:50:10|AS16-118-18898|||Light swirls east of Firsov|NASA
NA|AS16-118-18899|||Dark|NASA
107:26:32|AS16-118-18900|||East of Anderson|NASA
107:28:00|AS16-118-18901|||East of Buys-Ballot, Anderson|NASA
107:28:18|AS16-118-18902|||Anderson|NASA
107:28:22|AS16-118-18903|||Anderson|NASA
107:28:30|AS16-118-18904|||Anderson|NASA
107:28:52|AS16-118-18905|||Sharanov, Anderson|NASA
107:29:02|AS16-118-18906|||Anderson, Zernike|NASA
107:29:06|AS16-118-18907|||Anderson, Zernike|NASA
107:29:10|AS16-118-18908|||Horizon north of Anderson|NASA
107:29:25|AS16-118-18909|||North of Anderson, Freundlich|NASA
107:29:40|AS16-118-18910|||Sharanov, Anderson|NASA
107:29:48|AS16-118-18911|||Sharanov, Anderson|NASA
107:29:55|AS16-118-18912|||Anderson|NASA
107:30:07|AS16-118-18913|||Anderson|NASA
107:30:13|AS16-118-18914|||Sharanov, Anderson|NASA
107:30:21|AS16-118-18915|||Sharanov, Anderson|NASA
107:30:32|AS16-118-18916|||Anderson|NASA
107:30:36|AS16-118-18917|||Anderson|NASA
107:30:41|AS16-118-18918|||Anderson|NASA
107:30:48|AS16-118-18919|||Anderson|NASA
107:30:52|AS16-118-18920|||Anderson|NASA
107:31:02|AS16-118-18921|||Anderson, Spencer Jones|NASA
107:31:07|AS16-118-18922|||Anderson|NASA
107:31:16|AS16-118-18923|||Spencer Jones|NASA
107:31:22|AS16-118-18924|||Spencer Jones|NASA
107:31:27|AS16-118-18925|||North of Spencer Jones|NASA
107:31:31|AS16-118-18926|||Spencer Jones|NASA
107:31:35|AS16-118-18927|||Spencer Jones|NASA
107:31:40|AS16-118-18928|||Spencer Jones|NASA
107:31:44|AS16-118-18929|||Spencer Jones|NASA
107:31:50|AS16-118-18930|||Spencer Jones|NASA
107:32:02|AS16-118-18931|||Spencer Jones|NASA
107:32:10|AS16-118-18932|||Van Gent, Konstantinov|NASA
107:32:14|AS16-118-18933|||Van Gent, Konstantinov|NASA
107:32:22|AS16-118-18934|||Van Gent, Konstantinov|NASA
107:32:28|AS16-118-18935|||Van Gent, Konstantinov|NASA
107:32:34|AS16-118-18936|||Konstantinov|NASA
107:32:44|AS16-118-18937|||Konstantinov|NASA
107:32:48|AS16-118-18938|||Konstantinov|NASA
107:32:55|AS16-118-18939|||Konstantinov|NASA
107:33:03|AS16-118-18940|||North west of Papaleski|NASA
107:33:10|AS16-118-18941|||van Gent, Konstantinov|NASA
107:33:18|AS16-118-18942|||North of Nagaoka|NASA
107:33:22|AS16-118-18943|||van Gent, Konstantinov|NASA
107:33:27|AS16-118-18944|||Konstantinov|NASA
|AS16-118-18945|||Dark|NASA
107:33:37|AS16-118-18946|||Konstantinov|NASA
107:33:42|AS16-118-18947|||van Gent, Konstantinov|NASA
107:33:46|AS16-118-18948|||van Gent, Konstantinov|NASA
107:33:52|AS16-118-18949|||South of van Gent|NASA
107:33:56|AS16-118-18950|||Nagaoka|NASA
107:34:00|AS16-118-18951|||Nagaoka|NASA
|AS16-118-18952|||Dark|NASA
107:34:03|AS16-118-18953|||Kohlschutter, Nagaoka|NASA
107:34:19|AS16-118-18954|||Nagaoka|NASA
107:34:23|AS16-118-18955|||Nagaoka|NASA
107:34:39|AS16-118-18956|||Leonov|NASA
107:34:44|AS16-118-18957|||Kohlschutter|NASA
107:34:50|AS16-118-18958|||Kohlschutter|NASA
107:34:54|AS16-118-18959|||Leonov|NASA
107:34:58|AS16-118-18960|||Leonov|NASA
107:35:02|AS16-118-18961|||South of Kohlschutter|NASA
107:35:06|AS16-118-18962|||South of Kohlschutter|NASA
107:35:10|AS16-118-18963|||North of Leonov|NASA
107:35:14|AS16-118-18964|||Leonov|NASA
107:35:22|AS16-118-18965|||Kohlschutter|NASA
107:38:02|AS16-118-18966|||Floor of Mendeleev|NASA
107:38:06|AS16-118-18967|||Floor of Mendeleev|NASA
107:38:09|AS16-118-18968|||Floor of Mendeleev|NASA
107:38:12|AS16-118-18969|||Floor of Mendeleev|NASA
107:38:15|AS16-118-18970|||Floor of Mendeleev|NASA
107:38:18|AS16-118-18971|||Floor of Mendeleev|NASA
107:38:21|AS16-118-18972|||Floor of Mendeleev|NASA
107:38:25|AS16-118-18973|||Floor of Mendeleev|NASA
107:38:28|AS16-118-18974|||Floor of Mendeleev|NASA
107:38:32|AS16-118-18975|||Mendeleev, Nw Wall|NASA
107:38:35|AS16-118-18976|||Floor of Mendeleev|NASA
107:38:38|AS16-118-18977|||Floor of Mendeleev|NASA
107:38:40|AS16-118-18978|||Floor of Mendeleev|NASA
107:38:43|AS16-118-18979|||North west wall of Mendeleev|NASA
107:38:47|AS16-118-18980|||Floor of Mendeleev|NASA
107:38:51|AS16-118-18981|||Mendeleev, Nw Wall|NASA
107:38:55|AS16-118-18982|||Floor of Mendeleev|NASA
107:39:00|AS16-118-18983|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:05|AS16-118-18984|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:10|AS16-118-18985|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:15|AS16-118-18986|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:20|AS16-118-18987|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:25|AS16-118-18988|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:30|AS16-118-18989|||West wall of Mendeleevl, (Stereo Strip)|NASA
107:39:35|AS16-118-18990|||West wall of Mendeleevl, (Stereo Strip)|NASA
107:39:40|AS16-118-18991|||West wall of Mendeleevl, (Stereo Strip)|NASA
107:39:45|AS16-118-18992|||West wall of Mendeleevl, (Stereo Strip)|NASA
107:39:50|AS16-118-18993|||West wall of Mendeleevl, (Stereo Strip)|NASA
107:39:55|AS16-118-18994|||West of Mendeleev, (Stereo Strip)|NASA
107:40:00|AS16-118-18995|||West of Mendeleev, (Stereo Strip)|NASA
107:40:04|AS16-118-18996|||West of Mendeleev, (Stereo Strip)|NASA
107:40:09|AS16-118-18997|||West of Mendeleev, (Stereo Strip)|NASA
107:40:14|AS16-118-18998|||West of Mendeleev, (Stereo Strip)|NASA
107:40:18|AS16-118-18999|||West of Mendeleev, (Stereo Strip)|NASA
107:40:23|AS16-118-19000|||West of Mendeleev, (Stereo Strip)|NASA
107:40:28|AS16-118-19001|||West of Mendeleev, (Stereo Strip)|NASA
107:40:33|AS16-118-19002|||West of Mendeleev, (Stereo Strip)|NASA
108:05:13|AS16-118-19003|||Lohse|NASA
108:08:35|AS16-118-19004|||Mc Clure D, Crozier D|NASA
108:08:45|AS16-118-19005|||Crozier, Mc Clure|NASA
108:08:53|AS16-118-19006|||Crozier, Mc Clure|NASA
108:09:08|AS16-118-19007|||Crozier|NASA
108:09:37|AS16-118-19008|||West of Crozier|NASA
108:09:51|AS16-118-19009|||West of Crozier|NASA
108:10:28|AS16-118-19010|||North of Colombo|NASA
108:10:41|AS16-118-19011|||East wall of Goclenius|NASA
108:10:53|AS16-118-19012|||Magelhaens, A|NASA
108:11:11|AS16-118-19013|||Magelhaens, A|NASA
108:11:24|AS16-118-19014|||Magelhaens, Columbo A|NASA
108:11:55|AS16-118-19015|||Montes Pyrenaeus, Bohnenberger|NASA
