|DB 2|604.5|SRC1|1190, 1195
|DB 5|552.9|SRC1|2230 - 2238
|DB 6|480.0|SRC1|2240 - 2249, 2315
|DB 7|1257.0|SRC1|2250, 2255
|DB 9|465.2|SRC1|2270, 2275
|DB 10|278.5|SRC1|2290, 2295
|DB 11|423.4|SRC1|2280 - 2289, 2305
|DB 351|1131.0|SRC1|0030, 0035
|DB 352|473.0|SRC1|1240 - 1249, 1255
|DB 353|194.7|SRC1|1290, 1295
|DB 354|796.7|SRC1|1500 - 1505
|DB 355|283.6|SRC1|0050 - 0059
|DB 356|153.7|SRC1|1160 - 1164
|DB 357|284.2|SRC1|1220 - 1226
|DB 362|257.6|SRC1|1130, 1135
|DB 363|229.3|SRC1|1140 - 1144
|DB 364|559.0|SRC1|1170, 1175
|DB 368|258.5|SRC1|1280 - 1284
|DB 369|271.4|SRC1|1180 - 1184
|DB 371|148.3|SRC1|1150, 1155-1158
|DB 372|377.9|SRC1|1510, 1515 - 1577
|DB 373|263.6|SRC1|0070, 0075
|Loose rock|1804.0|SRC1|1015
|Loose rock|2.62|SRC1|1017
|Residue|64.19|SRC1|1010
|Core 29|583.5|SRC2|8002
|Core 43|584.1|SRC2|4002
|Core 45|635.3|SRC2|0010
|Core 54|759.8|SRC2|0009
|CSVC (Core 34)|558.3|SRC2|9001
|DB 332|588.4|SRC2|5510 - 5519, 5525 - 5588
|DB 333|618.2|SRC2|5500 - 5504
|DB 338|570.2|SRC2|6040 - 6044
|DB 339|306.6|SRC2|6080 - 6086
|DB 340|1227.0|SRC2|8110, 8115
|DB 341|551.1|SRC2|8410, 8415, 8416
|DB 342||SRC2|
|DB 343 & Loose rock|1826.0|SRC2|8815
|DB 374|259.3|SRC2|8120 - 8124
|DB 409|355.2|SRC2|6070, 6075
|Residue|72.3|SRC2|8810
|Surface sampler|10.0|SCB1|9003
|Surface sampler|20.0|SCB1|9004
|DB 004|46.70|SCB1|0090, 0095
|DB 334|446.0|SCB1|5710, 5715 - 5795
|DB 335|19.63|SCB1|5920, 5925 - 5927
|DB 344|460.8|SCB1|8840 - 8848
|DB 375|228.6|SCB1|8820 - 8825
|DB 381|134.6|SCB1|0110, 0115
|DB 394|1 107.0|SCB1|4430, 4435
|DB 395|852.6|SCB1|4530, 4535 - 4589
|DB 396|926.5|SCB1|4500 - 4509, 4515 - 4519, 4525
|DB 402|271 .5|SCB1|5700 - 5704
|DB 403|1 13.0|SCB1|5070, 5075
|DB 404|491.1|SCB1|5030, 5035
|DB 405|545.7|SCB1|5310, 5315, 5325 - 5366
|DB 406|692.7|SCB1|5900 - 5909, 5915, 5916
|DB 407|354. 1|SCB1|6030 - 6037
|DB 408|1336.0|SCB1|6050, 6055
|DB 410|1194.0|SCB1|6090, 6095
|Glass sphere|21.02|SCB1|5016
|SCB 1 Residue|42.37|SCB1|5010
|DB 336|589.0|SCB3|5090, 5095
|DB 337|597.9|SCB3|5050, 5056, 5057
|DB 376|66.37|SCB3|9920 - 9924
|DB 377|435.4|SCB3|9940 - 9945
|DB 378|131.7|SCB3|9930, 9935
|DB 379|508.7|SCB3|9960 - 9965
|DB 380|79.71|SCB3|9950, 9955
|DB 397|58.25|SCB3|4450, 4455
|DB 398|1216.0|SCB3|4470, 4475 - 4478
|DB 399|345.7|SCB3|4420 - 4425
|DB 400|480.0|SCB3|4800 - 4804
|DB 401|412.6|SCB3|4810 - 4819, 4825 - 4837
|DB 41 |409.7|SCB3|8510 - 8537
|DB 412|907.1|SCB3|8500 - 8505
|DB 413|23.81|SCB3|8030, 8035
|Loose rock|1802.0|SCB3|5015
|Loose rock|1836.0|SCB3|0025
|Core 36|840.7|SCB3|8001
|Core 38|752.3|SCB3|4001
|Residue|51.91|SCB3|0020
|DB 345|388.8|SCB4|3520, 3521 - 3598
|DB 346|620.5|SCB4|3500 ~ 3509, 3515
|DB 347|749.7|SCB4|0610, 0615 - 0679
|DB 348|540.2|SCB4|0600 - 0604
|DB 349|79.20|SCB4|0510, 0515 - 0535
|DB 350|702.5|SCB4|0500 - 0504
|DB 388|432.4|SCB4|7700 - 7708
|DB 389|238.9|SCB4|7930, 7935 - 7937
|DB 390|174.9|SCB4|7940 - 7948
|DB 391|12.11|SCB4|7960
|DB 392|449.8|SCB4|7970, 7975
|DB 423|693.0|SCB4|77iO - 7719, 7725 - 7776
|DB 425|176.2|SCB4|7950, 7955 - 7957
|Loose rock|1887.0|SCB4|0019
|Loose rock|2559.0|SCB4|7915
|Residue|180.3|SCB4|7910
|Loose rock|5574.0|SCB5|0015
|Residue|12.12|SCB5|0040
|Padded bag 1|276.9|SCB6|7210
|Pagged bag 2|938.3|SCB6|7230
|DB 13|398.6|SCB6|0210, 0215
|DB 15|109.7|SCB6|0230, 0235
|DB 17|889.3|SCB6|0250, 0255
|DB 331|320.3|SCB6|0330, 0335
|DB 387|233.6|SCB6|7410, 7415
|DB 415|376.7|SCB6|7430, 7435
|DB 416|1 159.0|SCB6|7450, 7455
|DB 417|370.2|SCB6|7460 - 7464
|DB 418|175.1|SCB6|7475
|DB 419|269.4|SCB6|7480 - 7489, 7495
|DB 420|467.4|SCB6|7510 - 7519, 7525 - 7576
|DB 421|457.3|SCB6|7610, 7615 - 7676
|DB 422|230.7|SCB6|7600 - 7605
|DB 426|351.5|SCB6|3320 - 3324
|DB 427|181.2|SCB6|3340 - 3344
|DB 428|65.4|SCB6|3335
|DB 429|91.73|SCB6|3350, 3355
|DB 430|138.8|SCB6|0130, 0135
|Residue|51.3|SCB6|
|DB 18|292.4|SCB7|0270, 0275
|DB 20|789,7|SCB7|0310, 0315
|DB 382|341.4|SCB7|7030 - 7035
|DB 383|240.4|SCB7|7050, 7055
|DB 384|219.9|SCB7|7070, 7075
|DB 385|343.6|SCB7|7090, 7095
|DB 386|257.3|SCB7|7110, 7115
|Loose rock|4307.0|SCB7|0016
|Loose rock|2102.0|SCB7|0017
|Loose rock|1501.0|SCB7|0018
|Loose rock|1194.0|SCB7|7015
|Core tube 27|570.3|SCB7|0014
|Core tube 32|757.3|SCB7|0013
|Residue|459.5|SCB7|
|Loose rock|11729.0|BSLSS|1016
|Loose rock|16.06|BSLSS|7025
|Loose rock|4262.0|BSLSS|7016
|Residue|357.6|BSLSS|7020
