|The Apollo 16 mission is the eleventh flight in the Apollo/Saturn V flight program, the sixth mission planned for lunar landing, and the fourth mission planned for landing in the lunar highlands. It is the second of the three 'J' Mission series which take advantage of greater Saturn V performance to launch a heavier spacecraft dedicated to scientific exploration of the Moon. The crew is John W. Young (Mission Commander), Tom "Ken" Mattingly II (Command Module Pilot), and Charles M. Duke, Jr. (Lunar Module Pilot). John Young is by this time the most experienced American astronaut still flying, having been the co-pilot on <i>Gemini III</i> (the first manned Gemini flight), the command pilot of <i>Gemini X</i> and the Command Module Pilot (CMP) for <i>Apollo 10</i>, the dress rehearsal for <i>Apollo 11</i>. Both Ken Mattingly and Charles Duke are rookies. Mattingly was previously been designated as the CMP for <i>Apollo 13</i> but was grounded 72 hours before that mission due to exposure to German Measles. Duke had been the back-up LMP for <i>Apollo 13</i> (incidentally, it was Duke's case of German Measles that led to Mattingly's grounding).
|The mission is also termed AS-511 (Apollo Saturn V number 11), and, in part due to the rivalries between the Manned Spacecraft Center at Houston (now Johnston Space Center) which is responsible for the spacecraft and the Marshall Space Flight Centre at Huntsville, which is responsible for the Saturn V, it is sometimes termed SA-511. The launch vehicle comprises First Stage S-IC-11 (the eleventh production stage), Second Stage S-II-11, Third Stage S-IVB-511, and Instrument Unit IUS-511 (both the eleventh of each for the Saturn V). The Apollo Spacecraft comprises Spacecraft/Lunar Module Adapter SLA-20 (the twentieth production unit), Command Module CM-113 and Service Module SM-113 (the thirteenth of the Block 2 version of each), and Lunar Module LM-11. The LM houses Lunar Roving Vehicle LRV-2.
|Originally slated for launch on 17 March 1972, Apollo 16 is now prepared to go on 16 April, as the culmination of a long preparation. The crew assignments were formally announced over a year ago on 3 March 1971, and the elements of the spacecraft began to arrive at the Kennedy Space Centre in July 1971. Apollo 16's preparation has not been without incident. In mid-November, the three main parachutes had to be replaced after the failure of a connector link left Apollo 15 with only two of its three parachutes operative at splashdown. On 13 December 1970 the combined "stack" of the Apollo spacecraft and Saturn V were moved from the Vehicle Assembly Building (VAB) to Launch Pad 39A. However, a mistake during subsequent testing resulted in the bursting of one of the teflon bladders that contained the hypergolic fuel in the Command Module's Reaction Control System (RCS). Since the test had used helium gas rather than the actual fuel, there was only limited damage. However, the replacement of the RCS tank was required which in turn needed disturbance of the CM heatshield (Moonport p518). A further problem was the need to change one of the explosive cords that separate the LM from the CSM prior to Earth return. A failure in a similar device during testing for Skylab raised concerns over that fitted to Apollo 16, and it was decided to replace it (AWST 10 Jan 72 p21, 17 Jan 72 p19). These 2 problems led to the decision to return the stack to the VAB for the first time in the Apollo program. A third problem was a delay in modifying the crew's spacesuits after Charles Duke's suffered failure of a clamp during training. As a result of all 3 problems, the launch date has been slipped from 17 March to 16 April, the next launch window for the mission. The timing of an Apollo launch to the Moon falls within certain 'windows', or periods of time, which are influenced by both daily and monthly factors. The daily restriction to the window is due to the rotation of the Earth bringing the launch site to the correct relationship with the Moon's position in its orbit, to allow enough of a parking orbit around the Earth before the boost to the Moon. The monthly factor is the lighting requirements at the landing site. The landing has to take place in the early lunar morning so that the Sun is behind the astronauts as they approach from their east-to-west orbit. A low Sun-angle produces shadows on the lunar terrain which help the crew to recognize landmarks as well as aiding speed and distance perception. With a lunar day lasting 29.5 Earth days, the correct conditions for the landing only occur once a month.
|There are 3 separate recording transcripts available of the mission at this point. These are the Technical Air To Ground Voice (TEC) Transcription, which documents all radio communication between Mission Control and the spacecraft and which has been carefully transcribed. The second is the Public Affairs Office (PAO) Transcript which was produced at the time from the public feed of the mission audio. It includes commentary from the occupant of the PAO console in Mission Control as well as much radio communication. Having been transcribed in a hurry by stenographers for use by journalists, it is very prone to errors. The third recording is the Command Module Onboard Voice (CM) Transcription. This is recorded on the Data Recorder Reproducer (DRR) - a tape recorder with 2,200 feet of tape giving 4 hours of recording at Low rate, or 60 minutes at High, fitted in the Command Module Lower Equipment Bay. The recorder is switched on during powered flight and during times that the spacecraft is out of contact with the ground. It can then be played back and transmitted to the ground. It can also be used to record data from some of the scientific experiments carried. The voice recordings from the DRR are not continuous throughout the flight. However, for the periods they are available, the CM transcriptions give a real insight into the crew's informal discussion and chat. Readers should note that if an utterance by a crewmember is listed as "onboard", the ground crews are not hearing it live at that time. They will be able to hear the onboard voice after they have replayed it to Earth during a regular dump of the tape. There are minor differences between the transcriptions, partly as the crew's discussions could mask off Mission Control reception. Also, the quality of the tapes makes the transcription process subjective at times.
|The weather on 16 April 1972 is good, with a ridge of high pressure extending over Florida from the east. By mid morning the skies are clear with scattered cumulus clouds developing by 11 am. The surface temperature is climbing to 88°F (31°C).
|Before the launch, the spacecraft has to be finally prepared for flight. This is carried out using the <a href="https://history.nasa.gov/afj/ap16fj/aoh_op_procs.html#BackupPrelaunch" target="afj">Operational Procedures</a> detailed in the Apollo Operations Handbook, and will leave the control positions as detailed in the <a href="https://history.nasa.gov/afj/ap16fj/csmlc\csmlc.html#Section1" target="afj">CSM Launch Checklist</a>. The lift-off configuration is set and verified by the back-up Command Module Pilot (CMP), in this case Stu Roosa who was the CMP on Apollo 14. He checks that each switch, knob, adjustment and talkback indicator is correctly set for the arrival of the prime crew. The CSM Launch Checklist systematically covers each of the 57 panels in the Apollo 16 CSM. There are 454 lines in the checklist. Some panels were covered by a single line, while Panel 2 on the main display console requires 78 lines.
|At first glance, the Main Display Console of the Command Module is highly complex. However, it is also highly structured, with all the controls for the various systems grouped together, and positioned where they will be visible and accessible during flight. The complexity of the controls is a reflection of the complexity of the spacecraft – the Apollo spacecraft is arguably one of the most complex flying machines ever created – before or since. Compared to aircraft cockpits, the main difference is the need to group all the controls where the crew can reach them while strapped into their seats and wearing spacesuits. The number of instruments is less than on many aircraft – much of the monitoring function carried out by an aircraft's crew is performed by the controllers on the ground at Kennedy Space Center or in Houston. Many of the displays also have multiple functions – for example displaying one parameter during launch and another later in the flight. Almost all are analogue instruments, with few digital displays. The crew has full control of all the systems, however, unlike their counterparts on Soviet spacecraft. Hence, the large number of switches and other controls. As former fast-jet pilots, the crew are already well accustomed to working in such an environment, but the complexity of Apollo has required many hours of work in the simulator to learn to &quot;fly&quot; the craft in an emergency.
|Three hours before launch, the prime crew enters the spacecraft and once settled, they continue the <a href="https://history.nasa.gov/afj/ap16fj/aoh_op_procs.html#PrimePrelaunch" target="afj">Pre-Launch Checks</a>. CDR (Commander), John Young, has taken the left couch facing the major flight controls and the abort handle. CMP Ken Mattingly occupies the centre couch, facing the caution and warning panel and ready to monitor the computer's display during the critical minutes of ascent. The electrical and environment systems will be monitored during launch by the LMP (Lunar Module Pilot), Charlie Duke, who sits in the right couch. The checklist for boost preparation will be performed starting at T - 20 minutes.
-01:30:00|The introduction of a mixed nitrogen/oxygen cabin atmosphere was a design change after the <i>Apollo 1</i> fire. Apollo is designed for a cabin pressure of 6 psi in space, to provide sufficient oxygen for the crew to operate without spacesuits. Since the actual amount of oxygen they breathe is determined by the partial pressure of oxygen (the contribution to the total cabin pressure provided by the oxygen alone), this 60/40 mix provides a little more oxygen than the 20 percent oxygen content of air at a sea level pressure of 15 psi (1 bar). However, the crew are wearing their spacesuits with the helmets closed and are breathing pure oxygen to flush out the nitrogen in their blood. In the event of a sudden loss of pressure in the spacecraft, any residual nitrogen dissolved in their blood would come out of solution and cause the "bends". The suit pressure is slightly more than cabin pressure to prevent any flow of cabin air into the suit. After launch, the cabin pressure relief valve will bleed air out of the cabin until the external pressure falls to 6 psi (0.4 bar) or equivalent to about 3,000 metres (10,000 feet) altitude on Earth. The environmental control system will continue to pump 0.6 pounds per hour (0.27 kg per hour) of oxygen into the cabin until the crew close the Direct O<sub>2</sub> valve after orbit is reached, and until then the pressure relief valve will dump the excess cabin air overboard. The aim is to reach orbit with minimal nitrogen in the cabin atmosphere.
-01:20:00|The pad crew is led by Guenter Wendt, the long serving North American employee who has served in a similar capacity on all manned US space missions since Alan Shepard's flight on <i>Mercury Redstone 3</i>.
-01:10:00|The Q-ball is not unlike a pitot tube on an aircraft that measures airspeed. It consists of eight openings at the top of the Launch Escape Tower. These openings lead to instruments which gauge air pressure. As well as providing dynamic pressure (known as "Q") information during powered flight, they help determine the angle of incidence of the tower during an abort event. The Q-ball design works at almost all air-speeds, unlike the pitot-static instruments used on most aircraft. A similar type of Q-ball was fitted to NASA's hypersonic X-15 research aircraft made, like the CSM, by North American in Downey, California. The Q-ball is covered until shortly before launch, to prevent blockage of the holes.
-01:01:00|The spacecraft has two independent systems that can control its attitude and fire its engines. The Guidance &amp; Control system is the more sophisticated, relying on a gyroscopically stabilized inertial platform and an optical subsystem. The SCS (Stabilization and Control System) uses simpler systems like strapped-down gyroscopes to achieve attitude control.
-01:00:00|A generation after Apollo, Gene Kranz, fondly nicknamed "General Savage" became the most celebrated of the Apollo-era flight directors. In the early 1990s, he gave an interview for a television documentary about the trials of the near disastrous <i>Apollo 13</i> mission. In his contribution, the hard-looking NASA technocrat with angular jaw and close-cropped hair expressed a deep emotional attachment to his flight control teams as his story of success in the face of failure brought tears to his eyes. The interview was brought to the attention of the production team for the movie film Apollo 13 who cast Ed Harris in the role of Kranz. Harris brought the mixture of steely leadership and team sensitivity to the character. The movie film portrays one of Kranz's rituals whereby his wife would make a white waistcoat for Gene for each flight, white being the team colour Gene chose for his flight control team.
-00:54:00|Although the RP-1 (kerosene) fuel for the S-IC was loaded some time before, the oxygen and hydrogen propellants must be loaded shortly before launch, since they will boil-off despite the insulation on the tanks. The loading procedure is complex. Air and water vapor is purged from the tanks by repeated pressurization and venting with helium. Helium is used because nitrogen would freeze in the presence of liquid hydrogen. Once clear of contaminants, the tanks are cooled to accept the propellants by first passing cold gas through the system then feeding propellant at a slow rate and allowing it to boil off, taking heat with it. Seven hours before launch, LOX is fed at 31.5 litres per second until it is 5% full, then the fill rate goes to 315 litres per second to take the tank to 96% full. This takes about 25 minutes and then the tank is topped up at 63 litres per second. Five hours before launch and after purging and cooling, LH<sub>2</sub> enters at 63 litres per second, further cooling its tank so that propellant begins to remain liquid and rise in level in a process similar to that for the LOX tanks. Once the level of liquid propellant reaches 5 percent, the fill rate is increased to 630 litres per second until the tank is 98 percent full, when the fill rate reduces again to 63 litres per second to top off the tank's load. To compensate for loss due to boil-off, both tanks are replenished until about three minutes before launch when the tanks are pressurized. Up to the launch, pressurizing helium gas is supplied from the ground. After launch, the boil-off of the propellants is enough to maintain pressure until the engines are ignited 2 minutes and 40 seconds into the flight.
-00:43:00|This is a test of the Saturn V's batteries. The spacecraft fuel cells were started before the prime crew entered the CM, and were brought on-line (connected to the power distribution bus-bars) during the earlier pre-launch checks.
-00:40:00|Each stage of the Saturn V launch vehicle has shaped explosive charges attached to its outer surface which, in the event of an abort, would rupture the fuel and oxidizer tanks, dispersing their contents into the atmosphere rather than allow them to impact the Earth with dangerous loads still onboard. The charge for the S-IC would cut a longitudinal breach in the fuel tank on the opposite side of the vehicle from that for the oxidizer tank so as to minimize their mixing during dispersion. Charges for the S-II would cut a 9-metre longitudinal opening in the hydrogen fuel tank and a series of lateral 4-metre ruptures in the squat LOX (liquid oxygen) tank. Those for the S-IVB would make two parallel 6-metre openings in the fuel tank and a 1.2-metre diameter hole in the LOX tank. These charges would be fired only after the Command Module separated from the launch vehicle. During a normal ascent, the destruct system will be made safe soon after the Launch Escape Tower is jettisoned; after about 3½ minutes of flight.
-00:40:00|Early in the Apollo program, the Air Force had insisted that the LM, a vehicle from which every ounce of unneeded weight had been trimmed and which would be a home to men on the lunar surface, also had to have destruct ordnance attached. This was based on the premise that, in the event of a launch abort, it was better for propellants to be consumed before reaching the ground. After all, the LM would be unmanned at this stage. NASA pointed out the weight and safety penalties of this arrangement and eventually won what was a substantial argument by pointing out that the LM was hardly likely to survive the destruction of the S-IVB stage anyway. A similar conflict occurred over demands by the Air Force that the Service Module also carry destruct charges.
-00:35:00|The Saturn V launch vehicle is assembled, transported on, and launched from the Mobile Launcher. This structure consists of a base platform 48.8 by 41.1 metres and 7.6 metres high, with a 13.7-metre square hole over which the vehicle is mounted. (The platforms will later be converted for use by the Space Shuttle). Sprouting from one end of this platform is the LUT (Launch Umbilical Tower). This 116-metre tower supports nine swing arms which provide the ground crew with access points to the vehicle, and a wide range of services including fuel, LOX, hydraulics, electrical power and various gases for purging and pressurisation. These arms are articulated so they can swing away from the vehicle to give it clearance as it rises, and to protect them from the rocket's white hot exhaust gases. The crew enter the spacecraft via the top, or ninth, arm, which carries an environmentally controlled room at its end. Known as the "white room", it covers the CM hatch until the crew is aboard. At T-43 minutes, it was swung away from the spacecraft by 12°. Five minutes before launch, it will be retracted to 180°, on the opposite side of the tower from the Saturn V.
000:03:27|Once the ninth arm and white room are clear, at about T minus 43 minutes, the crew lock their shoulder harnesses and John Young arms the Launch Escape System (LES). In event of an emergency the crew will then have the option to use the LES to launch the CM alone, away from the pad. See description at <a href="https://history.nasa.gov/afj/ap16fj/#lesdesc" target="afj">000:03:27</a> for the details of the LES.
-00:25:00|Two days before launch, a software problem was found during a test of one of the Emergency Detection System (EDS) gyros fitted to the Saturn V's IU. Although this was reviewed and the decision made launch “as-is”, a further special test of the EDS gyro was carried out on the morning of launch. During the test, the signal output of the Control Signal Processor (CSP), used for the rate gyro used for the IU's yaw control backup system, fell below that expected for approximately 1.9 secs. The CSP output then recovered and the fault could not be duplicated. The fault was attributed to a fault in one transistor fitted in the CSP. The gyro affected was a backup, used only when the IU's primary and reference gyro outputs disagreed. Analysis indicated that the Saturn V would still be controllable even if the pre-launch failure recurred, and the decision was made to continue the countdown as scheduled. (Saturn V Launch Vehicle Flight Evaluation Report 3.2.4)
-00:25:00|Of the 110.6-metre height of the entire Apollo 16/Saturn V stack, 42.1 metres comprise the S-IC first stage. Five F-1 engines are clustered at the bottom of the stage to provide 34,025 kN (7,700,000 pounds) of thrust in total. The propellants used are RP-1 (Rocket Propellant-1 or highly refined kerosene) as the fuel and LOX as the oxidizer. The lower of two tanks is filled with 810,000 litres of RP-1 at T minus 13 hours with a final topping up occurring at T minus 1 hour. At nine hours before launch, the larger upper tank has nitrogen gas pumped through it to purge it of air and water vapor contaminants. Six and a half hours before launch, it is precooled to prepare it for the loading of 1.3 million litres of LOX at a temperature of -183°C. Initially, the LOX is fed at a slow rate of 95 litres per second until the tank is sufficiently chilled to retain the liquid up to 6.5% full, then the tank is filled to 98% at a rate of 630 litres per second, a process lasting over 45 minutes. The slow fill rate is reestablished until the tank is full at about 4 hours 55 minutes before launch. From then on, until three minutes before launch, the level is replenished as the volatile LOX boils off. Both of the first stage tanks are then pressurized prior to launch using helium; the fuel tank at T minus 96 seconds, the LOX tank at T minus 72 seconds.
